
구입금액을 입력해 주세요.

수동으로 구매할 로또 수를 입력해 주세요.

수동으로 구매할 번호를 입력해 주세요.(,로 구분합니다.)

자동에 노출되고 싶지 않은 번호를 , 구분자로 하여 입력하세요

수동으로 1장, 자동으로 1399개를 구매했습니다.
1,2,3,4,25,27 번호 제외되었습니다.
[9,15,16,18,24,28]
[5,23,26,32,37,43]
[5,11,21,22,24,37]
[6,9,11,19,30,41]
[19,24,26,38,39,44]
[9,28,32,34,35,44]
[9,10,20,23,35,36]
[8,9,11,37,38,43]
[11,13,20,35,36,39]
[6,12,18,26,31,39]
[8,10,16,18,33,40]
[21,23,32,33,42,45]
[13,15,36,37,43,45]
[20,24,26,28,29,39]
[17,22,23,35,39,42]
[5,6,14,18,43,44]
[14,16,17,26,36,43]
[8,14,15,17,23,39]
[8,14,23,34,37,41]
[13,14,16,19,23,31]
[12,21,22,31,39,43]
[5,11,23,26,29,42]
[7,11,20,32,39,45]
[7,20,37,39,40,42]
[14,16,17,29,33,43]
[11,12,18,19,23,24]
[9,11,12,14,26,36]
[18,20,23,24,33,34]
[8,10,12,22,28,44]
[15,23,29,31,32,45]
[6,7,24,33,36,40]
[5,7,14,24,35,43]
[8,23,32,37,44,45]
[6,14,18,26,29,39]
[5,12,19,31,43,44]
[7,11,16,19,23,41]
[23,31,35,36,38,42]
[11,15,30,31,42,45]
[21,31,33,35,39,42]
[10,18,20,23,31,43]
[13,15,22,30,33,41]
[17,20,33,35,36,41]
[7,16,17,22,29,36]
[8,19,21,30,34,39]
[7,13,18,20,22,40]
[7,10,18,26,29,30]
[8,10,16,20,22,34]
[15,16,29,33,37,39]
[6,14,17,22,33,37]
[13,14,22,34,39,42]
[7,10,29,30,31,35]
[6,11,19,26,33,43]
[11,21,32,34,37,39]
[21,28,30,32,41,42]
[8,22,33,35,37,44]
[5,23,24,31,37,39]
[14,22,23,29,32,36]
[5,20,26,36,40,44]
[21,23,24,31,37,42]
[7,12,21,40,44,45]
[6,13,18,21,39,42]
[20,24,28,31,34,45]
[6,13,16,35,36,40]
[11,12,13,35,38,43]
[10,12,21,22,31,40]
[6,14,30,34,40,42]
[20,29,33,36,39,41]
[7,10,11,12,19,35]
[10,12,16,20,28,36]
[5,12,29,31,40,42]
[11,18,22,31,32,37]
[5,14,22,29,32,40]
[6,8,9,26,38,43]
[9,10,36,38,40,45]
[20,24,26,35,38,44]
[13,24,26,31,32,43]
[7,12,14,21,31,34]
[5,9,13,14,26,45]
[8,9,13,15,28,38]
[9,10,11,22,39,42]
[11,20,28,31,34,44]
[13,24,31,33,41,45]
[10,11,13,19,20,44]
[6,7,8,20,31,34]
[12,18,35,42,43,44]
[7,16,19,22,23,28]
[5,16,22,29,34,44]
[9,19,24,26,29,42]
[28,29,31,34,38,40]
[5,7,12,14,19,43]
[13,15,17,31,39,44]
[16,24,32,37,42,43]
[16,20,26,42,43,45]
[6,8,13,21,39,40]
[9,30,33,36,37,38]
[13,14,16,18,33,39]
[13,15,17,28,29,35]
[5,9,18,28,37,42]
[12,16,28,31,35,41]
[14,19,20,32,39,45]
[5,9,20,21,24,44]
[9,33,34,39,42,45]
[15,16,24,29,31,36]
[24,30,35,39,40,42]
[8,9,19,20,21,40]
[7,8,15,22,23,30]
[6,10,36,40,42,44]
[5,6,20,37,39,45]
[9,10,12,16,23,31]
[5,15,19,21,37,41]
[10,13,21,23,34,44]
[9,15,32,34,38,40]
[12,19,24,37,41,44]
[11,16,22,29,36,44]
[5,13,28,37,41,45]
[5,15,19,28,31,45]
[13,21,33,34,38,39]
[14,20,36,37,39,43]
[7,9,28,31,34,43]
[6,21,41,42,43,44]
[5,24,29,34,39,42]
[5,8,12,21,41,43]
[13,21,26,41,42,44]
[23,24,29,31,36,45]
[5,6,13,17,29,30]
[11,12,20,28,31,45]
[7,13,16,23,34,38]
[12,16,18,21,23,42]
[14,15,16,33,39,44]
[8,10,32,33,34,38]
[7,14,28,30,34,35]
[6,12,14,21,39,41]
[11,13,18,28,36,37]
[5,16,26,31,33,34]
[6,14,18,24,34,43]
[16,17,22,23,29,38]
[5,19,28,29,34,36]
[5,13,17,22,28,34]
[9,14,19,22,30,43]
[7,15,24,29,38,39]
[7,14,15,16,21,38]
[18,30,32,33,34,35]
[5,21,23,31,33,38]
[7,20,28,31,39,40]
[7,10,16,37,42,45]
[5,15,21,36,39,45]
[5,12,15,22,23,33]
[5,9,14,21,40,42]
[5,24,33,37,39,45]
[7,23,30,34,35,40]
[6,7,8,28,42,44]
[7,10,30,34,39,43]
[11,12,15,16,17,35]
[14,15,22,29,36,39]
[9,17,19,20,21,42]
[11,16,24,28,34,43]
[5,15,28,29,40,41]
[8,13,28,37,43,44]
[5,7,34,42,43,44]
[11,19,23,32,41,45]
[6,7,12,24,42,44]
[21,26,37,38,39,45]
[8,16,19,34,43,44]
[5,7,11,21,36,38]
[14,31,32,35,43,45]
[5,6,15,23,34,45]
[8,12,19,36,37,43]
[20,23,35,36,38,42]
[16,24,31,37,38,43]
[5,9,14,15,38,42]
[6,11,13,14,24,26]
[9,13,18,28,29,30]
[12,20,31,35,42,43]
[10,17,24,34,35,44]
[5,7,16,18,39,45]
[11,12,18,21,32,39]
[5,8,19,31,40,41]
[19,24,30,41,42,43]
[6,22,37,40,43,44]
[5,11,24,28,37,41]
[17,28,30,39,41,45]
[8,10,21,24,33,34]
[6,12,13,19,30,31]
[5,8,28,34,37,44]
[8,13,16,18,28,41]
[8,10,13,19,21,40]
[5,7,13,22,23,34]
[12,14,15,33,37,39]
[10,11,23,37,41,45]
[11,12,17,32,37,43]
[11,15,20,28,35,36]
[13,37,39,42,44,45]
[6,17,20,29,41,42]
[9,12,18,30,32,42]
[8,28,33,37,41,43]
[8,9,32,34,39,40]
[23,26,35,39,44,45]
[7,19,21,23,30,43]
[7,20,22,32,42,44]
[20,22,28,33,34,36]
[16,21,23,30,33,45]
[9,11,17,23,32,45]
[5,8,9,33,38,43]
[21,23,32,36,41,45]
[7,8,17,26,33,34]
[18,20,26,29,31,32]
[10,15,19,29,30,42]
[11,13,23,31,39,44]
[7,9,11,12,21,37]
[10,11,15,16,28,32]
[12,14,16,24,32,35]
[11,22,23,33,38,41]
[5,33,36,41,43,45]
[7,14,17,24,30,32]
[16,19,21,22,32,40]
[7,8,16,24,35,42]
[6,7,14,18,36,41]
[11,16,17,23,31,43]
[14,18,26,39,43,44]
[5,9,20,28,37,44]
[5,19,33,41,43,45]
[6,10,21,23,32,38]
[18,26,29,40,41,43]
[11,19,37,38,41,44]
[11,15,21,26,36,42]
[5,9,13,14,19,34]
[13,17,30,31,41,43]
[5,14,19,35,37,39]
[6,11,22,36,37,39]
[16,20,28,32,33,41]
[6,14,21,23,28,40]
[10,13,18,20,36,44]
[28,31,34,40,42,44]
[13,26,32,37,38,39]
[10,17,18,35,36,39]
[9,13,14,18,22,44]
[12,19,22,35,37,45]
[14,19,20,37,41,42]
[8,12,15,21,29,40]
[8,18,34,40,43,45]
[17,28,33,34,37,39]
[9,19,22,28,37,41]
[28,30,31,32,42,44]
[7,15,20,26,39,42]
[6,12,18,20,29,35]
[10,21,28,34,36,40]
[5,16,18,23,36,42]
[9,24,26,36,39,41]
[11,12,13,14,15,35]
[13,31,32,43,44,45]
[12,21,22,30,35,38]
[9,14,17,40,41,45]
[5,15,24,26,34,42]
[5,7,8,17,24,37]
[22,28,35,36,39,41]
[12,17,22,36,40,44]
[5,13,17,20,34,37]
[12,14,21,23,29,32]
[20,23,26,29,33,40]
[14,17,19,23,29,37]
[6,23,28,30,31,39]
[7,17,30,32,41,43]
[10,12,13,21,22,44]
[6,14,24,26,30,42]
[15,23,34,35,37,44]
[10,13,15,18,33,44]
[7,17,21,22,36,41]
[6,9,18,23,34,40]
[16,17,19,20,21,36]
[17,28,31,33,39,41]
[8,9,18,26,28,44]
[12,18,21,30,31,39]
[14,26,30,32,39,40]
[9,14,26,28,31,34]
[7,10,17,21,22,39]
[8,9,13,31,37,44]
[7,16,28,31,32,44]
[9,14,23,26,28,37]
[13,18,20,23,31,34]
[9,10,12,28,31,32]
[6,9,14,31,37,39]
[5,22,23,29,36,37]
[15,26,32,35,39,40]
[6,8,14,21,31,42]
[8,9,19,20,23,31]
[15,18,26,29,30,45]
[8,10,17,19,37,39]
[5,11,18,24,28,30]
[6,15,16,19,34,42]
[12,17,24,34,40,41]
[7,13,20,23,31,37]
[8,10,19,33,36,43]
[14,18,23,28,35,38]
[6,12,22,30,36,42]
[7,17,24,30,35,36]
[13,24,29,30,32,37]
[8,14,22,24,35,39]
[6,19,20,22,28,45]
[10,21,23,32,34,44]
[10,13,14,24,32,42]
[22,26,32,35,39,42]
[10,17,19,22,30,33]
[5,13,23,29,30,41]
[9,15,22,36,37,45]
[19,21,24,33,38,40]
[10,23,33,36,38,44]
[9,16,17,31,36,38]
[10,13,23,31,39,45]
[17,20,29,31,40,43]
[10,30,34,36,40,45]
[8,12,17,34,35,39]
[8,14,22,29,43,44]
[10,14,16,31,33,39]
[9,11,29,32,34,40]
[16,30,34,36,39,40]
[14,19,28,36,39,43]
[11,12,30,33,39,43]
[12,18,39,41,43,44]
[5,7,13,23,30,32]
[11,21,37,39,42,45]
[21,22,26,30,31,33]
[7,12,16,24,35,42]
[16,21,22,36,41,45]
[10,14,17,29,37,45]
[6,17,30,31,33,45]
[18,23,32,37,42,43]
[10,11,13,17,32,41]
[9,10,13,20,42,43]
[6,13,14,19,36,37]
[22,32,34,35,36,38]
[9,22,28,34,38,40]
[11,16,20,35,37,41]
[16,17,29,31,32,34]
[6,14,15,19,23,45]
[9,15,19,20,41,43]
[23,29,32,36,41,44]
[9,12,16,29,35,44]
[11,14,15,16,21,26]
[7,13,14,17,21,30]
[7,12,21,24,36,42]
[9,18,19,26,28,30]
[16,21,29,33,34,36]
[9,12,23,28,36,38]
[12,18,24,33,38,39]
[7,8,32,40,43,45]
[17,18,29,39,41,45]
[10,19,28,33,36,38]
[10,19,28,35,38,40]
[6,8,10,14,16,45]
[6,9,16,31,37,38]
[13,33,34,35,40,42]
[8,20,33,34,41,42]
[12,21,31,34,38,40]
[14,17,23,26,37,38]
[9,14,15,17,18,33]
[11,12,24,30,44,45]
[11,18,19,31,37,43]
[7,9,29,38,42,44]
[15,19,26,34,37,44]
[14,21,34,35,40,44]
[6,12,15,19,22,24]
[5,10,30,36,40,41]
[12,15,24,26,28,42]
[5,11,19,23,30,39]
[6,15,21,40,41,45]
[16,24,28,31,38,44]
[10,14,16,26,29,40]
[6,11,19,33,35,45]
[6,8,11,18,26,41]
[22,32,34,36,37,45]
[5,7,14,22,33,34]
[16,17,33,35,37,39]
[6,13,19,32,36,44]
[5,14,15,17,26,36]
[11,18,21,22,24,32]
[8,9,12,31,32,42]
[10,13,14,15,29,37]
[10,15,18,21,36,44]
[13,15,22,33,41,42]
[10,15,18,30,38,40]
[6,7,12,21,33,37]
[11,19,22,32,34,44]
[19,32,33,37,39,44]
[6,10,23,26,33,36]
[15,16,19,34,38,40]
[6,13,14,31,32,45]
[9,10,20,22,42,43]
[5,8,19,30,31,37]
[11,16,17,19,33,39]
[10,11,20,23,28,30]
[12,15,17,26,32,43]
[12,26,29,38,40,44]
[6,11,14,15,36,44]
[5,15,18,19,23,44]
[5,10,11,14,21,41]
[9,10,15,35,36,40]
[5,21,23,29,30,34]
[11,12,21,24,33,45]
[9,10,11,20,36,41]
[10,17,20,23,43,45]
[6,15,16,23,24,39]
[9,26,30,31,38,43]
[16,18,26,32,33,37]
[6,18,21,40,41,44]
[7,20,30,31,38,43]
[7,11,13,23,39,41]
[29,30,34,35,37,44]
[10,13,16,24,28,42]
[16,17,18,24,28,43]
[18,21,36,39,40,42]
[5,10,16,24,41,42]
[13,18,29,31,32,34]
[5,13,22,23,35,37]
[7,8,19,29,37,45]
[5,12,33,36,41,43]
[5,14,21,24,26,45]
[8,13,35,36,37,41]
[15,21,31,33,37,38]
[11,13,16,19,30,42]
[7,8,12,20,29,30]
[8,18,37,39,41,43]
[7,22,28,33,43,45]
[23,30,32,38,44,45]

지난 주 당첨 번호를 입력해 주세요.( , 구분자로 하여 입력하세요)
보너스 번호를 입력하세요
6개 일치 (2000000000원)- 1개
5개 일치, 보너스 볼 일치 (30000000원)- 0개
5개 일치 (1500000원)- 0개
4개 일치 (50000원)- 0개
3개 일치 (5000원)- 0개
